Isolate ID	Host Species	Year	Sampling Location
AgR297	BOVINE	2009	New Zealand: WESTCOAST
AgR197	POSSUM	1983	New Zealand: WESTCOAST
12754_7#32	CERVINE	2003	New Zealand: TAIHAPE
12755_8#27	BOVINE	2013	New Zealand: Northland
12754_7#93	POSSUM	1997	New Zealand: MANAWATU
12754_7#9	CERVINE	1998	New Zealand: OTAGO
12754_7#12	POSSUM	1997	New Zealand: KING COUNTRY
12754_7#83	POSSUM	1985	New Zealand: MACKENZIE COUNTRY
12754_8#9	FERRET	2001	New Zealand: OTAGO
AgR308	BOVINE	2009	New Zealand: WESTCOAST
12754_7#27	BOVINE	1984	New Zealand: KING COUNTRY
12755_8#10	BOVINE	2005	New Zealand: BLENHEIM
AgR292	POSSUM	1984	New Zealand: WESTCOAST
AgR155	POSSUM	1983	New Zealand: WESTCOAST
AgR290	POSSUM	1985	New Zealand: WESTCOAST
AgR260	PORCINE	1999	New Zealand: WESTCOAST
AgR267	CERVINE	1999	New Zealand: WESTCOAST
12754_8#70	FERRET	2005	New Zealand: CANTERBURY
12754_7#21	BOVINE	2002	New Zealand: OTAGO
12754_8#91	BOVINE	2001	New Zealand: NORTH CANT.
N49	BOVINE	2013	New Zealand: TARANAKI
12755_8#20	FELINE	2002	New Zealand: MARLBOROUGH
AgR272	BOVINE	2010	New Zealand: WESTCOAST
12754_8#33	BOVINE	1993	New Zealand: SOUTHLAND
12754_8#81	BOVINE	1998	New Zealand: WANGANUI
12754_7#55	CERVINE	1994	New Zealand: TAUPO
AgR146	POSSUM	1984	New Zealand: WESTCOAST
AgR316	BOVINE	2006	New Zealand: WESTCOAST
12754_8#12	BOVINE	2000	New Zealand: BLENHEIM
12754_8#42	BOVINE	1995	New Zealand: SOUTHLAND
AgR132	POSSUM	1982	New Zealand: WESTCOAST
12754_7#65	FERRET	2003	New Zealand: HAWKES BAY
12754_7#79	CERVINE	1999	New Zealand: OTAGO
12754_7#51	FERRET	1993	New Zealand: CENTRAL OTAGO
12755_8#9	FERRET	2006	New Zealand: NORTH CANT.
12754_7#5	BOVINE	1995	New Zealand: EAST COAST
AgR313	BOVINE	2003	New Zealand: WESTCOAST
12754_7#74	FERRET	1992	New Zealand: SOUTH CANTERBURY
AgR128	BOVINE	1989	New Zealand: WESTCOAST
12754_7#30	BOVINE	1984	New Zealand: KING COUNTRY
AgR122	FERRET	1992	New Zealand: MACKENZIECOUNTRY
12755_8#14	BOVINE	2008	New Zealand: KAIKOURA
AgR304	POSSUM	1984	New Zealand: WESTCOAST
12754_8#66	BOVINE	2003	New Zealand: SOUTHLAND
N42	BOVINE	2013	New Zealand: TARANAKI
12754_8#63	BOVINE	2000	New Zealand: SOUTHLAND
12755_8#4	PORCINE	2006	New Zealand: CANTERBURY
12754_8#34	BOVINE	1995	New Zealand: NORTH CANT.
AgR300	POSSUM	1992	New Zealand: WESTCOAST
12754_7#46	BOVINE	2001	New Zealand: HAWKES BAY
AgR276	BOVINE	2005	New Zealand: WESTCOAST
12754_7#37	BOVINE	1999	New Zealand: KING COUNTRY
12754_8#23	FELINE	1993	New Zealand: NORTH CANT.
12754_7#28	BOVINE	2002	New Zealand: HAWKES BAY
12754_8#49	BOVINE	2005	New Zealand: NORTH CANT.
12754_8#55	BOVINE	2005	New Zealand: KAIKOURA
12754_7#75	BOVINE	1987	New Zealand: MACKENZIE COUNTRY
12754_8#92	CERVINE	2004	New Zealand: CANTERBURY
12754_8#45	BOVINE	1997	New Zealand: SOUTHLAND
N50	BOVINE	2013	New Zealand: TARANAKI
12754_8#60	BOVINE	2002	New Zealand: SOUTHLAND
AgR240	BOVINE	2004	New Zealand: WESTCOAST
AgR310	BOVINE	2007	New Zealand: KAIKOURA
AgR248	BOVINE	2008	New Zealand: WESTCOAST
AgR301	BOVINE	2004	New Zealand: WESTCOAST
12754_8#51	BOVINE	2004	New Zealand: SOUTHLAND
12754_8#37	POSSUM	2001	New Zealand: BLENHEIM
12754_7#71	BOVINE	1997	New Zealand: OTAGO
12754_7#11	BOVINE	1996	New Zealand: EAST COAST
12754_7#59	CERVINE	2001	New Zealand: OTAGO
12755_8#16	BOVINE	2006	New Zealand: KAIKOURA
AgR234	BOVINE	2011	New Zealand: WESTCOAST
AgR191	PORCINE	1988	New Zealand: WESTCOAST
12754_7#86	BOVINE	2005	New Zealand: MANAWATU
AgR296	POSSUM	2006	New Zealand: WESTCOAST
12755_8#5	BOVINE	1998	New Zealand: CANTERBURY
AgR266	POSSUM	2007	New Zealand: WESTCOAST
AgR125	FERRET	1992	New Zealand: MACKENZIECOUNTRY
12755_8#1	BOVINE	2007	New Zealand: WEST COAST
AgR252	POSSUM	1999	New Zealand: WESTCOAST
12754_7#58	BOVINE	1995	New Zealand: MANAWATU
N19	BOVINE	2009	New Zealand: TARANAKI
12754_8#38	BOVINE	1994	New Zealand: SOUTHLAND
12754_7#54	BOVINE	2005	New Zealand: TAIHAPE
AgR280	POSSUM	2011	New Zealand: TAUPO
12754_7#82	BOVINE	1998	New Zealand: MANAWATU
12754_8#11	POSSUM	1988	New Zealand: MACKENZIE COUNTRY
12754_7#73	FERRET	1997	New Zealand: MANAWATU
12754_7#19	PORCINE	2004	New Zealand: OTAGO
12754_8#3	FERRET	2006	New Zealand: TAIHAPE
AgR121	BOVINE	1988	New Zealand: MACKENZIECOUNTRY
12754_7#90	FERRET	1992	New Zealand: OTAGO
12754_8#19	FERRET	2002	New Zealand: BLENHEIM
AgR255	BOVINE	2008	New Zealand: WESTCOAST
12754_8#48	BOVINE	1990	New Zealand: HAWKES BAY
AgR302	BOVINE	2007	New Zealand: WESTCOAST
AgR237	BOVINE	2003	New Zealand: WESTCOAST
12755_8#6	FERRET	2006	New Zealand: CANTERBURY
AgR229	BOVINE	2001	New Zealand: WESTCOAST
AgR232	POSSUM	2007	New Zealand: WESTCOAST
AgR285	BOVINE	2010	New Zealand: WESTCOAST
AgR213	CERVINE	1994	New Zealand: WESTCOAST
